,Trial_nr,Choice,Reward,probability_1,probability_2,probability_3,PE_1,PE_2,PE_3,LP_1,LP_2,LP_3,Nov_1,Nov_2,Nov_3,weight_PE,weight_LP,weight_Nov,model_1_probability,model_2_probability,model_3_probability
81,81.0,3.0,0.0,0.6081283202811519,0.41219248042172796,0.4287682572219683,0.6,0.8,0.5,0.6,0.8,-0.09999999999999998,1.0,12.0,0.0,,,,0.21014078926251273,0.49165523605928096,0.2982039746782062
82,82.0,1.0,1.0,0.6081283202811519,0.41219248042172796,0.44590520950530926,0.6,0.8,0.5,0.0,0.8,0.5,0.0,13.0,1.0,,,,0.2908717656022133,0.5041543655424537,0.20497386885533303
83,83.0,1.0,1.0,0.6198844706727173,0.41219248042172796,0.44590520950530926,0.5,0.8,0.5,0.09999999999999998,0.8,0.5,0.0,14.0,2.0,,,,0.19980909408308709,0.5166483045897869,0.2835426013271259
84,84.0,1.0,1.0,0.6312879365525358,0.41219248042172796,0.44590520950530926,0.4,0.8,0.5,0.09999999999999998,0.8,0.5,0.0,15.0,3.0,,,,0.20792346771787076,0.5114092080814165,0.28066732420071266
85,85.0,1.0,0.0,0.6423492984559597,0.41219248042172796,0.44590520950530926,0.5,0.8,0.5,-0.09999999999999998,0.8,0.5,0.0,16.0,4.0,,,,0.20792346771787082,0.5114092080814167,0.28066732420071266
86,86.0,2.0,0.0,0.6530788195022809,0.41219248042172796,0.44590520950530926,0.5,0.8,0.5,0.5,0.0,0.5,1.0,0.0,5.0,,,,0.17690074963055205,0.5314392216507591,0.291660028718689
87,87.0,3.0,0.0,0.6530788195022809,0.42982670600907613,0.44590520950530926,0.5,0.8,0.6,0.5,0.8,-0.09999999999999998,2.0,1.0,0.0,,,,0.34976886628912646,0.22302247570677888,0.42720865800409463
88,88.0,2.0,0.0,0.6530788195022809,0.42982670600907613,0.46252805322015,0.5,0.8,0.6,0.5,0.0,0.6,3.0,0.0,1.0,,,,0.3862707663886902,0.3674321188133635,0.2462971147979463
89,89.0,3.0,0.0,0.6530788195022809,0.44693190482880385,0.46252805322015,0.5,0.8,0.6,0.5,0.8,0.0,4.0,1.0,0.0,,,,0.40293542836791446,0.23247351899244845,0.3645910526396371
90,90.0,1.0,0.0,0.6530788195022809,0.44693190482880385,0.4786522116235455,0.5,0.8,0.6,0.0,0.8,0.6,0.0,2.0,1.0,,,,0.405311421989337,0.34885477384240493,0.24583380416825812
91,91.0,3.0,1.0,0.6634864549172125,0.44693190482880385,0.4786522116235455,0.5,0.8,0.5,0.5,0.8,0.09999999999999998,1.0,3.0,0.0,,,,0.26532755100484395,0.3765177173786963,0.3581547316164598
92,92.0,1.0,1.0,0.6634864549172125,0.44693190482880385,0.4942926452748391,0.4,0.8,0.5,0.09999999999999998,0.8,0.5,0.0,4.0,1.0,,,,0.3467440403809325,0.38321142944505454,0.27004453017401303
93,93.0,2.0,0.0,0.6735818612696961,0.44693190482880385,0.4942926452748391,0.4,0.9,0.5,0.4,-0.09999999999999998,0.5,1.0,0.0,2.0,,,,0.27468978339004785,0.38980335753892803,0.33550685907102407
94,94.0,1.0,1.0,0.6735818612696961,0.46352394768393973,0.4942926452748391,0.30000000000000004,0.9,0.5,0.09999999999999998,0.9,0.5,0.0,1.0,3.0,,,,0.38048552061557894,0.21952104897167904,0.399993430412742
95,95.0,1.0,1.0,0.6833744054316052,0.46352394768393973,0.4942926452748391,0.30000000000000004,0.9,0.5,0.0,0.9,0.5,0.0,2.0,4.0,,,,0.2902033451267924,0.3371681837226015,0.3726284711506061
96,96.0,2.0,0.0,0.692873173268657,0.46352394768393973,0.4942926452748391,0.30000000000000004,1.0,0.5,0.30000000000000004,-0.09999999999999998,0.5,1.0,0.0,5.0,,,,0.27004453017401303,0.3467440403809325,0.38321142944505454
97,97.0,2.0,0.0,0.692873173268657,0.47961822925342157,0.4942926452748391,0.30000000000000004,1.0,0.5,0.30000000000000004,0.0,0.5,2.0,0.0,6.0,,,,0.3609828907373151,0.19811161086749704,0.4409054983951878
98,98.0,3.0,1.0,0.692873173268657,0.49522968237581894,0.4942926452748391,0.30000000000000004,1.0,0.5,0.30000000000000004,1.0,0.0,3.0,1.0,0.0,,,,0.36098289073731504,0.19811161086749704,0.44090549839518783
99,99.0,2.0,1.0,0.692873173268657,0.49522968237581894,0.509463865916594,0.30000000000000004,0.9,0.5,0.30000000000000004,0.09999999999999998,0.5,4.0,0.0,1.0,,,,0.3883257680168782,0.3513716852892231,0.2603025466938988
