,First_feature,Second_feature,Third_feature,Correct_response_1,Correct_response_2,Correct_response_3,Trial_nr,Choice,Reward,probability_1,probability_2,probability_3,PE_1,PE_2,PE_3,LP_1,LP_2,LP_3,Nov_1,Nov_2,Nov_3,weight_PE,weight_LP,weight_Nov,model_1_probability,model_2_probability,model_3_probability
53,1,0.0,0.0,1.0,2.0,4.0,53.0,3.0,0.0,0.515,0.2725,0.125,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.45793653108195437,0.379933736702235,0.16212973221581042
54,1,0.0,1.0,1.0,2.0,5.0,54.0,3.0,0.0,0.515,0.2725,0.15125,1.0,1.0,2.0,1.0,1.0,-1.0,3.0,2.0,0.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.35477165697413227,0.32288044779051467,0.3223478952353531
55,0,1.0,0.0,0.0,1.0,2.0,55.0,1.0,1.0,0.515,0.2725,0.1767125,0.0,1.0,2.0,1.0,1.0,2.0,0.0,3.0,1.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.46162299660704115,0.42012668409344894,0.11825031929950994
56,1,1.0,0.0,1.0,3.0,6.0,56.0,2.0,0.0,0.52955,0.2725,0.1767125,0.0,2.0,2.0,0.0,-1.0,2.0,1.0,0.0,2.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.5734111005832333,0.3110316056586464,0.11555729375812039
57,0,0.0,1.0,0.0,0.0,1.0,57.0,2.0,0.0,0.52955,0.294325,0.1767125,0.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,3.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.7354104158418885,0.10201550435962953,0.1625740797984821
58,0,0.0,1.0,0.0,0.0,1.0,58.0,1.0,1.0,0.52955,0.31549525,0.1767125,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,4.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.6279060719347561,0.2332853802860951,0.13880854777914883
59,0,0.0,1.0,0.0,0.0,1.0,59.0,1.0,1.0,0.5436635,0.31549525,0.1767125,0.0,1.0,2.0,0.0,1.0,2.0,0.0,2.0,5.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.5598781511378114,0.2759356848898427,0.16418616397234592
60,1,0.0,1.0,1.0,2.0,5.0,60.0,1.0,0.0,0.5573535949999999,0.31549525,0.1767125,1.0,1.0,2.0,-1.0,1.0,2.0,0.0,3.0,6.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.5365534977670636,0.29055914477785827,0.17288735745507808
61,1,0.0,1.0,1.0,2.0,5.0,61.0,3.0,0.0,0.5706329871499999,0.31549525,0.1767125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.28200384362966574,0.4501497975356333,0.2678463588347011
62,0,1.0,1.0,0.0,1.0,3.0,62.0,2.0,1.0,0.5706329871499999,0.31549525,0.201411125,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.30896129959644464,0.4098506156098678,0.28118808479368773
63,1,1.0,1.0,1.0,3.0,7.0,63.0,2.0,1.0,0.5706329871499999,0.3360303925,0.201411125,1.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,2.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.25407937091212074,0.5146810149818983,0.231239614105981
64,0,1.0,1.0,0.0,1.0,3.0,64.0,3.0,0.0,0.5706329871499999,0.355949480725,0.201411125,1.0,0.0,2.0,1.0,0.0,-1.0,4.0,1.0,0.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.2784945380684496,0.4680454140638877,0.25346004786766263
65,1,0.0,1.0,1.0,2.0,5.0,65.0,1.0,0.0,0.5706329871499999,0.355949480725,0.22536879125,1.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.34319892565746124,0.5767893488314908,0.08001172551104797
66,0,0.0,0.0,0.0,0.0,0.0,66.0,2.0,1.0,0.5835139975354999,0.355949480725,0.22536879125,1.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.222559193982102,0.6571173908832193,0.12032341513467877
67,1,1.0,1.0,1.0,3.0,7.0,67.0,2.0,0.0,0.5835139975354999,0.37527099630325,0.22536879125,1.0,1.0,2.0,1.0,-1.0,2.0,2.0,0.0,3.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.28394035848586974,0.5761197686552935,0.13993987285883677
68,1,1.0,0.0,1.0,3.0,6.0,68.0,2.0,0.0,0.5835139975354999,0.3940128664141525,0.22536879125,1.0,2.0,2.0,1.0,-1.0,2.0,3.0,0.0,4.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.4584647216922945,0.31558115468116055,0.22595412362654485
69,0,1.0,1.0,0.0,1.0,3.0,69.0,1.0,1.0,0.5835139975354999,0.41219248042172796,0.22536879125,0.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,5.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.5717514839590154,0.1464610646242899,0.28178745141669465
70,0,1.0,0.0,0.0,1.0,2.0,70.0,3.0,0.0,0.5960085776094349,0.41219248042172796,0.22536879125,0.0,2.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.668778241972642,0.1347762603271299,0.19644549770022826
71,1,0.0,0.0,1.0,2.0,4.0,71.0,1.0,0.0,0.5960085776094349,0.41219248042172796,0.24860772751250002,1.0,2.0,2.0,-1.0,2.0,2.0,0.0,3.0,1.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.7282075066083539,0.16098176302503342,0.11081073036661275
72,1,1.0,0.0,1.0,3.0,6.0,72.0,2.0,1.0,0.6081283202811519,0.41219248042172796,0.24860772751250002,1.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0,2.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.4330788052640242,0.31008170308372807,0.25683949165224773
73,1,1.0,0.0,1.0,3.0,6.0,73.0,2.0,0.0,0.6081283202811519,0.42982670600907613,0.24860772751250002,1.0,2.0,2.0,1.0,-2.0,2.0,2.0,0.0,3.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.2541681909614992,0.6205651350172986,0.1252666740212022
74,0,1.0,1.0,0.0,1.0,3.0,74.0,2.0,0.0,0.6081283202811519,0.44693190482880385,0.24860772751250002,1.0,1.0,2.0,1.0,1.0,2.0,3.0,0.0,4.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.5716131712626115,0.14666754466841708,0.28171928406897145
75,0,1.0,1.0,0.0,1.0,3.0,75.0,2.0,0.0,0.6081283202811519,0.46352394768393973,0.24860772751250002,1.0,1.0,2.0,1.0,0.0,2.0,4.0,0.0,5.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.4450995636663094,0.3355333245883318,0.21936711174535892
76,1,0.0,1.0,1.0,2.0,5.0,76.0,2.0,0.0,0.6081283202811519,0.47961822925342157,0.24860772751250002,1.0,1.0,2.0,1.0,0.0,2.0,5.0,0.0,6.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.47208047204033043,0.2952548881432377,0.23266463981643204
77,0,1.0,0.0,0.0,1.0,2.0,77.0,1.0,0.0,0.6081283202811519,0.49522968237581894,0.24860772751250002,1.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,7.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.48495162907042705,0.2760401873916959,0.23900818353787698
78,1,0.0,1.0,1.0,2.0,5.0,78.0,3.0,0.0,0.6198844706727173,0.49522968237581894,0.24860772751250002,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.3167892960047446,0.3818281381261023,0.301382565869153
79,1,0.0,0.0,1.0,2.0,4.0,79.0,2.0,0.0,0.6198844706727173,0.49522968237581894,0.271149495687125,1.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.4101687959821193,0.4506815584078738,0.1391496456100069
80,1,1.0,0.0,1.0,3.0,6.0,80.0,1.0,1.0,0.6198844706727173,0.5103727919045443,0.271149495687125,0.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.46225468259194913,0.34904122060394177,0.18870409680410913
81,1,1.0,1.0,1.0,3.0,7.0,81.0,2.0,0.0,0.6312879365525358,0.5103727919045443,0.271149495687125,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,3.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.598544967061711,0.26891861790024457,0.13253641503804436
82,1,0.0,0.0,1.0,2.0,4.0,82.0,2.0,0.0,0.6312879365525358,0.525061608147408,0.271149495687125,0.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,4.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.6191783418666562,0.23042282936201455,0.15039882877132915
83,0,1.0,1.0,0.0,1.0,3.0,83.0,1.0,1.0,0.6312879365525358,0.5393097599029858,0.271149495687125,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,5.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.632274787338372,0.21414524862307446,0.15357996403855367
84,0,0.0,1.0,0.0,0.0,1.0,84.0,1.0,1.0,0.6423492984559597,0.5393097599029858,0.271149495687125,0.0,1.0,2.0,0.0,1.0,2.0,0.0,2.0,6.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.5509435959694036,0.27153229355447717,0.17752411047611918
85,0,1.0,0.0,0.0,1.0,2.0,85.0,3.0,0.0,0.6530788195022809,0.5393097599029858,0.271149495687125,0.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.5275450079215468,0.2856807885353839,0.18677420354306928
86,1,0.0,0.0,1.0,2.0,4.0,86.0,3.0,0.0,0.6530788195022809,0.5393097599029858,0.2930150108165112,0.0,1.0,1.0,0.0,1.0,0.0,2.0,4.0,0.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.5128851792485029,0.2777420698436668,0.20937275090783036
87,0,0.0,1.0,0.0,0.0,1.0,87.0,2.0,1.0,0.6530788195022809,0.5393097599029858,0.31422456049201586,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,-0.8942850956707883,0.0925414969702606,0.9419223870177105,0.5318529640769522,0.28801367064586175,0.18013336527718593
